timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705797684089,33,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-1,,true,,145,168,1,1,null,0,0,33
1705797684144,5,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-1,,true,,2,6,1,1,null,0,0,0
1705797684150,135,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-1,text,true,,150,38,3,3,null,0,0,0
1705797684286,48,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-1,text,true,,122,121,3,3,null,0,0,0
1705797684160,176,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-2,,true,,145,168,3,3,null,0,0,176
1705797684337,1,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-2,,true,,2,6,3,3,null,0,0,0
1705797684334,157,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-1,text,true,,146640,35,5,5,null,0,0,0
1705797684492,11,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-1,text,true,,4,31,5,5,null,0,0,0
1705797684338,201,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-2,text,true,,122,38,5,5,null,0,0,0
1705797684258,283,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-3,,true,,145,168,5,5,null,0,0,283
1705797684541,2,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-3,,true,,2,6,5,5,null,0,0,0
1705797684539,86,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-2,text,true,,122,121,6,6,null,0,0,0
1705797684543,126,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-3,text,true,,122,38,7,7,null,0,0,0
1705797684355,317,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-4,,true,,145,168,7,7,null,0,0,317
1705797684672,1,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-4,,true,,2,6,7,7,null,0,0,0
1705797684626,197,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-2,text,true,,146762,35,8,8,null,0,0,0
