timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705797252213,1534,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-78,text,true,,119,121,57,57,null,0,0,0
1705797249687,4062,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-98,,true,,145,168,57,57,null,0,0,4062
1705797253749,1,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-98,,true,,2,6,57,57,null,0,0,0
1705797252296,1524,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-70,text,true,,23643,35,57,57,null,0,0,0
1705797253821,2,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-70,text,true,,4,31,57,57,null,0,0,0
1705797252299,1553,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-88,text,true,,119,38,57,57,null,0,0,0
1705797248725,5171,Location | GetResourcesNearby,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-44,text,true,,149,143,57,57,null,0,0,3644
1705797253896,1,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-44,text,true,,4,31,57,57,null,0,0,0
1705797249786,4114,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-99,,true,,145,168,56,56,null,0,0,4114
1705797253901,0,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-99,,true,,2,6,56,56,null,0,0,0
1705797249879,4049,Resource 5 | Open Connection,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-100,,true,,145,168,56,56,null,0,0,4049
1705797253928,1,Resource 5 | PingPong Request,200,OK,Run 1 time by 100 users withing 10 seconds 1-100,,true,,2,6,56,56,null,0,0,0
1705797252400,1590,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-79,text,true,,119,121,56,56,null,0,0,0
1705797249964,4037,Location | GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Run 1 time by 100 users withing 10 seconds 1-50,,false,,0,0,56,56,null,0,0,0
0,0,Resource 5 | CloseConnection,,No connection; nothing to close.,Run 1 time by 100 users withing 10 seconds 1-50,,false,,0,0,56,56,null,0,0,0
1705797252405,1633,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-89,text,true,,119,38,55,55,null,0,0,0
1705797252467,1615,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-71,text,true,,23762,35,55,55,null,0,0,0
1705797254082,1,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-71,text,true,,4,31,55,55,null,0,0,0
1705797252470,1645,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-90,text,true,,119,38,55,55,null,0,0,0
1705797252522,1632,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-80,text,true,,119,121,55,55,null,0,0,0
1705797252561,1636,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-72,text,true,,23881,35,55,55,null,0,0,0
1705797254197,3,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-72,text,true,,4,31,55,55,null,0,0,0
1705797248964,5291,Location | GetResourcesNearby,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-45,text,true,,149,143,55,55,null,0,0,3688
1705797254255,3,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-45,text,true,,4,31,55,55,null,0,0,0
1705797252656,1630,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-91,text,true,,119,38,54,54,null,0,0,0
1705797252754,1574,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-81,text,true,,119,121,54,54,null,0,0,0
1705797249033,5340,Location | GetResourcesNearby,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-46,text,true,,149,143,54,54,null,0,0,3724
1705797254373,1,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-46,text,true,,4,31,54,54,null,0,0,0
1705797252792,1630,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-73,text,true,,24000,35,53,53,null,0,0,0
1705797254422,1,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-73,text,true,,4,31,53,53,null,0,0,0
1705797252795,1656,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-92,text,true,,119,38,53,53,null,0,0,0
1705797252846,1644,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-82,text,true,,119,121,53,53,null,0,0,0
1705797253022,1504,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-83,text,true,,119,121,53,53,null,0,0,0
1705797253025,1529,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-93,text,true,,119,38,53,53,null,0,0,0
1705797253093,1504,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-74,text,true,,24238,35,53,53,null,0,0,0
1705797254597,3,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-74,text,true,,4,31,53,53,null,0,0,0
1705797253096,1532,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-94,text,true,,119,38,53,53,null,0,0,0
1705797253192,1479,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-84,text,true,,119,121,53,53,null,0,0,0
1705797253234,1483,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-75,text,true,,24357,35,53,53,null,0,0,0
1705797254717,3,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-75,text,true,,4,31,53,53,null,0,0,0
1705797253309,1448,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-85,text,true,,119,121,53,53,null,0,0,0
1705797249378,5429,Location | GetResourcesNearby,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-47,text,true,,149,143,53,53,null,0,0,3984
1705797254807,1,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-47,text,true,,4,31,53,53,null,0,0,0
1705797253366,1474,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-95,text,true,,119,38,52,52,null,0,0,0
1705797253427,1461,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-76,text,true,,24476,35,52,52,null,0,0,0
1705797254888,2,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-76,text,true,,4,31,52,52,null,0,0,0
1705797253456,1471,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-86,text,true,,119,121,52,52,null,0,0,0
1705797253539,1431,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-77,text,true,,24595,35,52,52,null,0,0,0
1705797254970,2,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-77,text,true,,4,31,52,52,null,0,0,0
1705797253543,1456,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-96,text,true,,119,38,52,52,null,0,0,0
1705797250839,4169,Location | GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Run 1 time by 100 users withing 10 seconds 1-54,,false,,0,0,52,52,null,0,0,0
0,0,Resource 5 | CloseConnection,,No connection; nothing to close.,Run 1 time by 100 users withing 10 seconds 1-54,,false,,0,0,52,52,null,0,0,0
1705797249495,5553,Location | GetResourcesNearby,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-48,text,true,,149,143,51,51,null,0,0,4071
1705797255049,2,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-48,text,true,,4,31,51,51,null,0,0,0
1705797253642,1452,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-87,text,true,,119,121,50,50,null,0,0,0
1705797253691,1432,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-97,text,true,,119,38,50,50,null,0,0,0
1705797253747,1422,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-78,text,true,,24714,35,50,50,null,0,0,0
1705797255169,3,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-78,text,true,,4,31,50,50,null,0,0,0
1705797253750,1451,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-98,text,true,,119,38,50,50,null,0,0,0
1705797253852,1392,Resource 5 | AddLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-88,text,true,,119,121,50,50,null,0,0,0
1705797253901,1372,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-99,text,true,,119,38,50,50,null,0,0,0
1705797249865,5450,Location | GetResourcesNearby,101,Switching Protocols,Run 1 time by 100 users withing 10 seconds 1-49,text,true,,149,143,50,50,null,0,0,4058
1705797255316,0,Resource 5 | CloseConnection,1000,Connection closed.,Run 1 time by 100 users withing 10 seconds 1-49,text,true,,4,31,50,50,null,0,0,0
1705797253929,1420,Resource 5 | GetLocation,200,OK,Run 1 time by 100 users withing 10 seconds 1-100,text,true,,119,38,49,49,null,0,0,0
1705797253990,1407,Resource 5 | GetTrack,200,OK,Run 1 time by 100 users withing 10 seconds 1-79,text,true,,24833,35,49,49,null,0,0,0
